,ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
11199,Col4a1,Col4a1,2.3957472,0.8516129032258064,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,SMCs & Pericytes,SMCs & Pericytes,1.7416608,0.0
10124,Col4a1,Col4a1,2.2212007,0.7620967741935484,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,ASPC,SMCs & Pericytes,1.6543876,0.0
1535,Col4a1,Col4a1,2.3957472,0.8516129032258064,Itga1,Itga1_Itgb1,0.8243826,0.407258064516129,SMCs & Pericytes,ASPC,1.6100649,0.0
2707,Col4a1,Col4a1,2.3957472,0.8516129032258064,Itgb1,Itga1_Itgb1,0.6836308,0.3639556988180841,SMCs & Pericytes,Adipocytes,1.5396891,0.0
43,Col4a1,Col4a1,2.2212007,0.7620967741935484,Itga1,Itga1_Itgb1,0.8243826,0.407258064516129,ASPC,ASPC,1.5227916,0.0
1772,Col4a1,Col4a1,2.2212007,0.7620967741935484,Itgb1,Itga1_Itgb1,0.6836308,0.3639556988180841,ASPC,Adipocytes,1.4524157,0.0
10170,Col3a1,Col3a1,1.8035517,0.717741935483871,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,ASPC,SMCs & Pericytes,1.4455631,0.0
10328,Col4a1,Col4a1,1.6795698,0.6530291759649558,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,Adipocytes,SMCs & Pericytes,1.3835721,0.0
147,Col3a1,Col3a1,1.8035517,0.717741935483871,Itga1,Itga1_Itgb1,0.8243826,0.407258064516129,ASPC,ASPC,1.3139671,0.0
1537,Col4a1,Col4a1,2.3957472,0.8516129032258064,Itga9,Itga9_Itgb1,0.20595784,0.1075268817204301,SMCs & Pericytes,ASPC,1.3008525,0.0
1539,Col4a1,Col4a1,2.3957472,0.8516129032258064,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,SMCs & Pericytes,ASPC,1.2941135,0.0
1818,Col3a1,Col3a1,1.8035517,0.717741935483871,Itgb1,Itga1_Itgb1,0.6836308,0.3639556988180841,ASPC,Adipocytes,1.2435913,0.0
10164,Col5a3,Col5a3,1.3737493,0.5591397849462365,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,ASPC,SMCs & Pericytes,1.2306619,0.0
45,Col4a1,Col4a1,2.2212007,0.7620967741935484,Itga9,Itga9_Itgb1,0.20595784,0.1075268817204301,ASPC,ASPC,1.2135793,0.0
47,Col4a1,Col4a1,2.2212007,0.7620967741935484,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,ASPC,ASPC,1.2068403,0.0
10166,Col5a2,Col5a2,1.2444758,0.5672043010752689,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,ASPC,SMCs & Pericytes,1.1660252,0.0
10136,Col6a2,Col6a2,1.2429335,0.5604838709677419,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,ASPC,SMCs & Pericytes,1.165254,0.0
135,Col5a3,Col5a3,1.3737493,0.5591397849462365,Itga1,Itga1_Itgb1,0.8243826,0.407258064516129,ASPC,ASPC,1.0990659,0.0
139,Col5a2,Col5a2,1.2444758,0.5672043010752689,Itga1,Itga1_Itgb1,0.8243826,0.407258064516129,ASPC,ASPC,1.0344292,0.0
73,Col6a2,Col6a2,1.2429335,0.5604838709677419,Itga1,Itga1_Itgb1,0.8243826,0.407258064516129,ASPC,ASPC,1.033658,0.0
1812,Col5a3,Col5a3,1.3737493,0.5591397849462365,Itgb1,Itga1_Itgb1,0.6836308,0.3639556988180841,ASPC,Adipocytes,1.0286901,0.0
149,Col3a1,Col3a1,1.8035517,0.717741935483871,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,ASPC,ASPC,0.99801576,0.0
11205,Col4a2,Col4a2,0.87374604,0.4419354838709677,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,SMCs & Pericytes,SMCs & Pericytes,0.98066026,0.0
1814,Col5a2,Col5a2,1.2444758,0.5672043010752689,Itgb1,Itga1_Itgb1,0.6836308,0.3639556988180841,ASPC,Adipocytes,0.96405333,0.0
1784,Col6a2,Col6a2,1.2429335,0.5604838709677419,Itgb1,Itga1_Itgb1,0.6836308,0.3639556988180841,ASPC,Adipocytes,0.96328217,0.0
337,Col4a1,Col4a1,1.6795698,0.6530291759649558,Itga9,Itga9_Itgb1,0.20595784,0.1075268817204301,Adipocytes,ASPC,0.94276386,0.0
339,Col4a1,Col4a1,1.6795698,0.6530291759649558,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,Adipocytes,ASPC,0.9360249,0.0
10168,Col5a1,Col5a1,0.7747799,0.4018817204301075,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,ASPC,SMCs & Pericytes,0.9311772,0.0
10130,Col4a2,Col4a2,0.77371866,0.3736559139784946,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,ASPC,SMCs & Pericytes,0.93064654,0.0
10120,Col6a6,Col6a6,0.69136,0.325268817204301,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,ASPC,SMCs & Pericytes,0.88946724,0.0
1547,Col4a2,Col4a2,0.87374604,0.4419354838709677,Itga1,Itga1_Itgb1,0.8243826,0.407258064516129,SMCs & Pericytes,ASPC,0.84906435,0.0
11197,Col6a6,Col6a6,0.6089074,0.3274193548387096,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,SMCs & Pericytes,SMCs & Pericytes,0.848241,0.0
11229,Col5a2,Col5a2,0.53501254,0.2758064516129032,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,SMCs & Pericytes,SMCs & Pericytes,0.8112935,0.0
10122,Col1a1,Col1a1,0.5333531,0.2634408602150537,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,ASPC,SMCs & Pericytes,0.8104638,0.0
143,Col5a1,Col5a1,0.7747799,0.4018817204301075,Itga1,Itga1_Itgb1,0.8243826,0.407258064516129,ASPC,ASPC,0.7995813,0.0
