,ligand,ligand_complex,ligand_props,ligand_trimean,mat_max,receptor,receptor_complex,receptor_props,receptor_trimean,source,target,lr_probs,cellchat_pvals
2424,App,App,0.8473282442748091,0.3108438459782189,7.3557024,Lrp6,Lrp6,0.9781386891478635,0.5379848437633905,Mesothelium,Adipocytes,0.2506324039562116,0.0
6408,App,App,0.8473282442748091,0.3108438459782189,7.3557024,Lrp6,Lrp6,0.9199491740787802,0.49539881496375027,Mesothelium,Immune cells,0.23546427165497474,0.0
1839,App,App,0.7634408602150538,0.2789395823655425,7.3557024,Lrp6,Lrp6,0.9781386891478635,0.5379848437633905,ASPC,Adipocytes,0.23084646282292534,0.0
4939,App,App,0.8473282442748091,0.3108438459782189,7.3557024,Lrp6,Lrp6,0.8786848072562359,0.4782303317296367,Mesothelium,Endothelial cells,0.22917416154749476,0.0
10867,App,App,0.8473282442748091,0.3108438459782189,7.3557024,Lrp6,Lrp6,0.8725806451612903,0.472722732105469,Mesothelium,SMCs & Pericytes,0.22713432713877993,0.0
7725,App,App,0.8473282442748091,0.3108438459782189,7.3557024,Lrp6,Lrp6,0.8320610687022901,0.4528270680342429,Mesothelium,Mesothelium,0.2196748162798168,0.0
5641,App,App,0.7634408602150538,0.2789395823655425,7.3557024,Lrp6,Lrp6,0.9199491740787802,0.49539881496375027,ASPC,Immune cells,0.2165297659994736,0.0
1112,App,App,0.8473282442748091,0.3108438459782189,7.3557024,Lrp6,Lrp6,0.8225806451612904,0.4442895423131013,Mesothelium,ASPC,0.2164294927467174,0.0
4094,App,App,0.7634408602150538,0.2789395823655425,7.3557024,Lrp6,Lrp6,0.8786848072562359,0.4782303317296367,ASPC,Endothelial cells,0.21060613058164346,0.0
10195,App,App,0.7634408602150538,0.2789395823655425,7.3557024,Lrp6,Lrp6,0.8725806451612903,0.472722732105469,ASPC,SMCs & Pericytes,0.20868682268229627,0.0
