,ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
2424,App,App,2.0948467,0.8473282442748091,Lrp6,Lrp6,3.8268807,0.9781386891478635,Mesothelium,Adipocytes,2.9608636,0.0
1839,App,App,1.8278463,0.7634408602150538,Lrp6,Lrp6,3.8268807,0.9781386891478635,ASPC,Adipocytes,2.8273635,0.0
2599,App,App,1.7786366,0.7364341085271318,Lrp6,Lrp6,3.8268807,0.9781386891478635,Neuronal-like cells,Adipocytes,2.8027587,0.0
2763,App,App,1.7388299,0.7322580645161291,Lrp6,Lrp6,3.8268807,0.9781386891478635,SMCs & Pericytes,Adipocytes,2.7828553,0.0
6407,App,App,2.0948467,0.8473282442748091,Lrp6,Lrp6,3.359254,0.9199491740787802,Mesothelium,Immune cells,2.7270503,0.0
2063,App,App,1.486182,0.6150375939849624,Lrp6,Lrp6,3.8268807,0.9781386891478635,Adipocytes_2,Adipocytes,2.6565313,0.0
4939,App,App,2.0948467,0.8473282442748091,Lrp6,Lrp6,3.158124,0.8786848072562359,Mesothelium,Endothelial cells,2.6264853,0.002
2169,App,App,1.3843783,0.6218820861678005,Lrp6,Lrp6,3.8268807,0.9781386891478635,Endothelial cells,Adipocytes,2.6056294,0.0
10866,App,App,2.0948467,0.8473282442748091,Lrp6,Lrp6,3.1105573,0.8725806451612903,Mesothelium,SMCs & Pericytes,2.6027021,0.017
5641,App,App,1.8278463,0.7634408602150538,Lrp6,Lrp6,3.359254,0.9199491740787802,ASPC,Immune cells,2.5935502,0.0
6620,App,App,1.7786366,0.7364341085271318,Lrp6,Lrp6,3.359254,0.9199491740787802,Neuronal-like cells,Immune cells,2.5689452,0.061
6824,App,App,1.7388299,0.7322580645161291,Lrp6,Lrp6,3.359254,0.9199491740787802,SMCs & Pericytes,Immune cells,2.5490417,0.01
1969,App,App,1.2620152,0.5607901479461113,Lrp6,Lrp6,3.8268807,0.9781386891478635,Adipocytes,Adipocytes,2.544448,0.0
2282,App,App,1.217771,0.5463786531130876,Lrp6,Lrp6,3.8268807,0.9781386891478635,Immune cells,Adipocytes,2.522326,0.016
7724,App,App,2.0948467,0.8473282442748091,Lrp6,Lrp6,2.9287245,0.8320610687022901,Mesothelium,Mesothelium,2.5117855,0.306
4094,App,App,1.8278463,0.7634408602150538,Lrp6,Lrp6,3.158124,0.8786848072562359,ASPC,Endothelial cells,2.4929852,0.227
1112,App,App,2.0948467,0.8473282442748091,Lrp6,Lrp6,2.8589745,0.8225806451612904,Mesothelium,ASPC,2.4769106,0.49
10194,App,App,1.8278463,0.7634408602150538,Lrp6,Lrp6,3.1105573,0.8725806451612903,ASPC,SMCs & Pericytes,2.4692018,0.589
